number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5650916104146577,2025-07-17 08:27:42.510772,2025-07-17 08:30:35.050125,0 days 00:02:52.539353,32,0.3897396948721591,4.866630572108026e-05,0.0015816192911221009,COMPLETE
1,0.5853423336547734,2025-07-17 08:30:35.078606,2025-07-17 08:31:55.899974,0 days 00:01:20.821368,32,0.17096517962852933,0.008306503163838595,1.9951203763304294e-05,COMPLETE
2,0.39633558341369335,2025-07-17 08:31:55.930176,2025-07-17 08:34:38.080850,0 days 00:02:42.150674,64,0.3775223163514091,1.1475686445208673e-05,0.0012673380125875497,COMPLETE
3,0.6084860173577628,2025-07-17 08:34:38.107669,2025-07-17 08:37:20.102873,0 days 00:02:41.995204,64,0.46478120330861505,0.0014984567259882949,6.139057883326574e-05,COMPLETE
4,0.5342333654773385,2025-07-17 08:37:20.131859,2025-07-17 08:40:01.653738,0 days 00:02:41.521879,64,0.2656252655597967,4.992402504793882e-05,0.00011158527944794719,COMPLETE
5,0.24879459980713597,2025-07-17 08:40:01.680633,2025-07-17 08:40:05.009565,0 days 00:00:03.328932,64,0.3505877412723163,9.399380419995075e-05,9.992961471505357e-05,PRUNED
6,0.5863066538090647,2025-07-17 08:40:05.032215,2025-07-17 08:43:15.681110,0 days 00:03:10.648895,16,0.4459928986241234,0.0051175600492207735,0.00018515545174911657,COMPLETE
7,0.2786885245901639,2025-07-17 08:43:15.706203,2025-07-17 08:43:19.643219,0 days 00:00:03.937016,16,0.1451422716998265,0.005715463852056027,2.2496249127747207e-06,PRUNED
8,0.26229508196721313,2025-07-17 08:43:19.661651,2025-07-17 08:43:23.487381,0 days 00:00:03.825730,16,0.4182035129458693,0.00722932863656129,0.003963774339137498,PRUNED
9,0.5911282545805208,2025-07-17 08:43:23.505735,2025-07-17 08:46:08.247917,0 days 00:02:44.742182,32,0.19100605676881433,0.00046525840463297586,0.0043854191920770225,COMPLETE
10,0.26133076181292186,2025-07-17 08:46:08.275047,2025-07-17 08:46:11.559019,0 days 00:00:03.283972,64,0.4911563320891113,0.0008206440156057155,1.2281237809767925e-06,PRUNED
11,0.6084860173577628,2025-07-17 08:46:11.578517,2025-07-17 08:47:59.232324,0 days 00:01:47.653807,32,0.2481747616738595,0.0007561557223052988,1.6630541363705544e-05,COMPLETE
12,0.5940212150433944,2025-07-17 08:47:59.263721,2025-07-17 08:49:53.489650,0 days 00:01:54.225929,32,0.26798862765411585,0.0013650725951948515,1.3756387048028632e-05,COMPLETE
13,0.26422372227579555,2025-07-17 08:49:53.515713,2025-07-17 08:49:56.813314,0 days 00:00:03.297601,64,0.31106657513552693,0.001852197031083998,1.4079656290305999e-05,PRUNED
14,0.5448408871745419,2025-07-17 08:49:56.835090,2025-07-17 08:50:54.070073,0 days 00:00:57.234983,32,0.10074021031764677,0.00018325372818128998,3.651658592142839e-05,PRUNED
15,0.5814850530376084,2025-07-17 08:50:54.089518,2025-07-17 08:52:18.304724,0 days 00:01:24.215206,32,0.22373346606616645,0.0022545291995661066,4.041094620307956e-06,COMPLETE
16,0.2777242044358727,2025-07-17 08:52:18.331826,2025-07-17 08:52:21.656939,0 days 00:00:03.325113,64,0.3231330768843641,0.00029914262488462654,0.0004004072680453009,PRUNED
17,0.2729026036644166,2025-07-17 08:52:21.678591,2025-07-17 08:52:25.003239,0 days 00:00:03.324648,64,0.4819268109735911,0.0010100013244955881,4.9098806327039405e-06,PRUNED
18,0.5226615236258437,2025-07-17 08:52:25.024537,2025-07-17 08:53:22.304956,0 days 00:00:57.280419,32,0.2476090292809262,0.0005072127495448259,4.8889477804893624e-05,PRUNED
19,0.2729026036644166,2025-07-17 08:53:22.328362,2025-07-17 08:53:26.261052,0 days 00:00:03.932690,16,0.21655125953159401,0.0029549873817816346,0.0004240348661732604,PRUNED
20,0.3201542912246866,2025-07-17 08:53:26.282428,2025-07-17 08:53:32.781284,0 days 00:00:06.498856,64,0.34239763520615796,0.0002322978551337639,4.779876732294316e-06,PRUNED
21,0.28640308582449375,2025-07-17 08:53:32.800944,2025-07-17 08:53:36.302862,0 days 00:00:03.501918,32,0.27834857778305394,0.0012894236306274665,1.3247578178226979e-05,PRUNED
22,0.5515911282545806,2025-07-17 08:53:36.321592,2025-07-17 08:54:33.669321,0 days 00:00:57.347729,32,0.29097000828958663,0.0007185809932728119,3.076818094988014e-05,PRUNED
23,0.26133076181292186,2025-07-17 08:54:33.689441,2025-07-17 08:54:37.174689,0 days 00:00:03.485248,32,0.24384150755436088,0.0038804737207209813,8.530185435195053e-06,PRUNED
24,0.3674059787849566,2025-07-17 08:54:37.193700,2025-07-17 08:54:43.972418,0 days 00:00:06.778718,32,0.19005110183804352,0.0016624358870331991,8.025862201722705e-05,PRUNED
25,0.2709739633558341,2025-07-17 08:54:43.990695,2025-07-17 08:54:47.467846,0 days 00:00:03.477151,32,0.44377324877807306,0.00047452666849981346,0.0002392027779962586,PRUNED
26,0.44358727097396333,2025-07-17 08:54:47.491450,2025-07-17 08:55:01.067490,0 days 00:00:13.576040,32,0.29737281154015544,0.002874163636907091,5.522040493460102e-05,PRUNED
27,0.29122468659594986,2025-07-17 08:55:01.086343,2025-07-17 08:55:04.521184,0 days 00:00:03.434841,32,0.36684248645979184,0.0012184673725838275,1.6608295655261345e-05,PRUNED
28,0.2690453230472517,2025-07-17 08:55:04.540532,2025-07-17 08:55:07.825511,0 days 00:00:03.284979,64,0.3266801668361296,0.00013298186700496503,6.778848200956335e-06,PRUNED
29,0.26229508196721313,2025-07-17 08:55:07.845266,2025-07-17 08:55:11.761226,0 days 00:00:03.915960,16,0.25839539279630047,1.3749969345411324e-05,2.0111968092549274e-06,PRUNED
30,0.2757955641272903,2025-07-17 08:55:11.786285,2025-07-17 08:55:15.257682,0 days 00:00:03.471397,32,0.420717088396266,0.000635840701210021,2.7510188215886225e-05,PRUNED
31,0.46576663452266154,2025-07-17 08:55:15.278429,2025-07-17 08:55:35.535423,0 days 00:00:20.256994,32,0.20231273613519998,0.00045527609655432786,0.00940266570999274,PRUNED
32,0.579556412729026,2025-07-17 08:55:35.558343,2025-07-17 08:56:56.406803,0 days 00:01:20.848460,32,0.1601345450621656,0.0003477171932256117,0.0008282896031569383,COMPLETE
33,0.29411764705882354,2025-07-17 08:56:56.432441,2025-07-17 08:56:59.873470,0 days 00:00:03.441029,32,0.1269211916715305,0.001085459409484793,0.0022174126788213587,PRUNED
34,0.5689488910318226,2025-07-17 08:56:59.896233,2025-07-17 08:58:03.770486,0 days 00:01:03.874253,32,0.19015025960020154,0.001704175716877964,1.1158429748346049e-05,PRUNED
35,0.3461909353905497,2025-07-17 08:58:03.789899,2025-07-17 08:58:10.558245,0 days 00:00:06.768346,32,0.2316209117100385,7.54903783812777e-05,0.00014345861537610522,PRUNED
36,0.2719382835101254,2025-07-17 08:58:10.576191,2025-07-17 08:58:13.884940,0 days 00:00:03.308749,64,0.2780131695654319,2.0192528481284683e-05,7.576928858556015e-05,PRUNED
37,0.5824493731918997,2025-07-17 08:58:13.909682,2025-07-17 09:00:24.759584,0 days 00:02:10.849902,32,0.1616424043422171,0.00032110000798364705,2.065204456166914e-05,COMPLETE
38,0.4725168756027001,2025-07-17 09:00:24.788295,2025-07-17 09:00:44.094920,0 days 00:00:19.306625,64,0.20787492142609437,0.0007734298930933468,0.0003486810663498272,PRUNED
39,0.26325940212150434,2025-07-17 09:00:44.111724,2025-07-17 09:00:47.933500,0 days 00:00:03.821776,16,0.38049047261809127,0.009916009527751284,0.006001311164339693,PRUNED
40,0.3789778206364513,2025-07-17 09:00:47.955152,2025-07-17 09:00:54.438102,0 days 00:00:06.482950,64,0.17944736901058056,0.0001622042724784617,0.0014430250226394321,PRUNED
41,0.28833172613307617,2025-07-17 09:00:54.455580,2025-07-17 09:00:58.275350,0 days 00:00:03.819770,16,0.46097095415269645,0.005472563462513379,0.0001576062545520076,PRUNED
42,0.25265188042430087,2025-07-17 09:00:58.292552,2025-07-17 09:01:02.208633,0 days 00:00:03.916081,16,0.40021727557123454,0.004517758009950197,0.0008737371671885018,PRUNED
43,0.30665380906460943,2025-07-17 09:01:02.229854,2025-07-17 09:01:06.101503,0 days 00:00:03.871649,16,0.44784936199498737,0.0027468438138973507,5.290249491126633e-05,PRUNED
44,0.26036644165863065,2025-07-17 09:01:06.120383,2025-07-17 09:01:09.946789,0 days 00:00:03.826406,16,0.4986474158901465,0.006419398475765656,0.002841419460126283,PRUNED
45,0.29122468659594986,2025-07-17 09:01:09.965903,2025-07-17 09:01:13.877182,0 days 00:00:03.911279,16,0.4748417197825198,0.001457458855979929,2.59742215849892e-06,PRUNED
46,0.304725168756027,2025-07-17 09:01:13.900650,2025-07-17 09:01:17.189969,0 days 00:00:03.289319,64,0.43715971147437677,0.002172845522252969,8.842413978851283e-06,PRUNED
47,0.29122468659594986,2025-07-17 09:01:17.207967,2025-07-17 09:01:20.627865,0 days 00:00:03.419898,32,0.2377292909235344,0.0009223450437296436,1.9461296731573576e-05,PRUNED
48,0.24493731918997108,2025-07-17 09:01:20.647208,2025-07-17 09:01:24.473867,0 days 00:00:03.826659,16,0.402680815608698,0.0038933977986008025,4.287659112968654e-05,PRUNED
49,0.49373191899710706,2025-07-17 09:01:24.492821,2025-07-17 09:01:44.683050,0 days 00:00:20.190229,32,0.2625226992862289,0.0006074267201651852,0.0006867362192309153,PRUNED
50,0.28351012536162007,2025-07-17 09:01:44.702166,2025-07-17 09:01:47.980335,0 days 00:00:03.278169,64,0.3563094260474482,0.00025555682872303815,0.0002020141231693153,PRUNED
51,0.3404050144648023,2025-07-17 09:01:48.038645,2025-07-17 09:01:54.849639,0 days 00:00:06.810994,32,0.12433736481941379,0.008213965145923674,2.317950548208521e-05,PRUNED
