Model,Subject,Mean_Accuracy,Std_Accuracy,N_Valid_Runs,Individual_Scores
EEGNet,1,0.6569444444444444,0.018556096133176922,5,"[0.6666666666666666, 0.6354166666666666, 0.6875, 0.6527777777777778, 0.6423611111111112]"
EEGNet,2,0.46736111111111106,0.05323268860204667,5,"[0.5347222222222222, 0.3784722222222222, 0.4583333333333333, 0.5069444444444444, 0.4583333333333333]"
EEGNet,3,0.7979166666666666,0.04163192996478294,5,"[0.8506944444444444, 0.7395833333333334, 0.78125, 0.8402777777777778, 0.7777777777777778]"
EEGNet,4,0.48680555555555555,0.02053020208207566,5,"[0.4756944444444444, 0.4548611111111111, 0.5104166666666666, 0.4861111111111111, 0.5069444444444444]"
EEGNet,5,0.3784722222222222,0.016867996946515456,5,"[0.3784722222222222, 0.375, 0.3854166666666667, 0.4027777777777778, 0.3506944444444444]"
EEGNet,6,0.36527777777777776,0.03683829780520791,5,"[0.3611111111111111, 0.3159722222222222, 0.3611111111111111, 0.4305555555555556, 0.3576388888888889]"
EEGNet,7,0.6131944444444445,0.0626387349098871,5,"[0.6111111111111112, 0.5486111111111112, 0.6284722222222222, 0.7222222222222222, 0.5555555555555556]"
EEGNet,8,0.7243055555555555,0.02676991009360612,5,"[0.7361111111111112, 0.7256944444444444, 0.6944444444444444, 0.6979166666666666, 0.7673611111111112]"
EEGNet,9,0.7180555555555556,0.024980702428617992,5,"[0.75, 0.7256944444444444, 0.6944444444444444, 0.7361111111111112, 0.6840277777777778]"
DeepConvNet,1,0.5777777777777778,0.017650368093248367,5,"[0.5763888888888888, 0.5972222222222222, 0.5972222222222222, 0.5659722222222222, 0.5520833333333334]"
DeepConvNet,2,0.31249999999999994,0.06002025121203307,5,"[0.4305555555555556, 0.2708333333333333, 0.2847222222222222, 0.2743055555555556, 0.3020833333333333]"
DeepConvNet,3,0.6347222222222222,0.034260823287622255,5,"[0.6909722222222222, 0.6006944444444444, 0.6458333333333334, 0.6388888888888888, 0.5972222222222222]"
DeepConvNet,4,0.3916666666666667,0.024591571124480252,5,"[0.4305555555555556, 0.375, 0.3645833333333333, 0.3784722222222222, 0.4097222222222222]"
DeepConvNet,5,0.28680555555555554,0.015774745405000762,5,"[0.2638888888888889, 0.2916666666666667, 0.3125, 0.28125, 0.2847222222222222]"
DeepConvNet,6,0.29097222222222224,0.02133651596630169,5,"[0.2708333333333333, 0.2847222222222222, 0.2673611111111111, 0.3194444444444444, 0.3125]"
DeepConvNet,7,0.49513888888888885,0.06096098985376318,5,"[0.5034722222222222, 0.5381944444444444, 0.5798611111111112, 0.4166666666666667, 0.4375]"
DeepConvNet,8,0.6986111111111111,0.01634528096658307,5,"[0.71875, 0.7013888888888888, 0.6736111111111112, 0.7118055555555556, 0.6875]"
DeepConvNet,9,0.74375,0.01720765512967205,5,"[0.7361111111111112, 0.7326388888888888, 0.7673611111111112, 0.7222222222222222, 0.7604166666666666]"
CTNet,1,0.6708333333333334,0.018294360933777058,5,"[0.6875, 0.6770833333333334, 0.6909722222222222, 0.6458333333333334, 0.6527777777777778]"
CTNet,2,0.4645833333333333,0.016637706320431864,5,"[0.4791666666666667, 0.4340277777777778, 0.46875, 0.4618055555555556, 0.4791666666666667]"
CTNet,3,0.8027777777777778,0.025834826719080956,5,"[0.8090277777777778, 0.7604166666666666, 0.8090277777777778, 0.8402777777777778, 0.7951388888888888]"
CTNet,4,0.5604166666666667,0.04671913386542824,5,"[0.5590277777777778, 0.5451388888888888, 0.5034722222222222, 0.5486111111111112, 0.6458333333333334]"
CTNet,5,0.40625,0.023344078213849463,5,"[0.3784722222222222, 0.4409722222222222, 0.3819444444444444, 0.4166666666666667, 0.4131944444444444]"
CTNet,6,0.38402777777777775,0.01364366854471423,5,"[0.3854166666666667, 0.3715277777777778, 0.40625, 0.3888888888888889, 0.3680555555555556]"
CTNet,7,0.7055555555555556,0.024786900413298254,5,"[0.6909722222222222, 0.6736111111111112, 0.7291666666666666, 0.6944444444444444, 0.7395833333333334]"
CTNet,8,0.7152777777777778,0.031899122438488456,5,"[0.6736111111111112, 0.7569444444444444, 0.7083333333333334, 0.7465277777777778, 0.6909722222222222]"
CTNet,9,0.7243055555555555,0.014829275350043516,5,"[0.7256944444444444, 0.7430555555555556, 0.7152777777777778, 0.7361111111111112, 0.7013888888888888]"
