number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5583413693346191,2025-07-09 15:14:58.109114,2025-07-09 15:17:18.585423,0 days 00:02:20.476309,2,16,64,0.24505426083157184,0.0024315504890135985,0.0006279139540487088,COMPLETE
1,,2025-07-09 15:17:18.612048,2025-07-09 15:29:59.469615,0 days 00:12:40.857567,8,32,16,0.3994362706524083,3.969290910789855e-05,0.0002490266918439177,FAIL
2,0.6325940212150434,2025-07-09 15:30:07.370268,2025-07-09 15:40:48.108049,0 days 00:10:40.737781,2,32,16,0.12988679302154116,0.0008704749593073274,0.002451031998106575,COMPLETE
3,0.5930568948891032,2025-07-09 15:40:48.135532,2025-07-09 15:51:15.830753,0 days 00:10:27.695221,2,32,32,0.10662803837973223,0.0025132114428899413,6.038508779710614e-06,COMPLETE
4,0.6123432979749277,2025-07-09 15:51:15.855600,2025-07-09 16:03:01.906768,0 days 00:11:46.051168,4,32,32,0.2568350735761513,0.0009246843694618241,0.00032921643700803166,COMPLETE
5,0.5342333654773385,2025-07-09 16:03:01.932214,2025-07-09 16:13:42.990142,0 days 00:10:41.057928,8,32,16,0.4254973473604916,0.0021239676562309386,6.429252974166786e-05,COMPLETE
6,0.2806171648987464,2025-07-09 16:13:43.038644,2025-07-09 16:13:47.890745,0 days 00:00:04.852101,4,8,64,0.48283876698531214,0.00018348713565890186,0.0012326745372121836,PRUNED
7,0.39922854387656703,2025-07-09 16:13:47.912290,2025-07-09 16:13:55.951827,0 days 00:00:08.039537,2,16,32,0.4027041071878713,0.008089667269122188,1.2926962577339779e-05,PRUNED
8,0.33847637415621984,2025-07-09 16:13:55.970373,2025-07-09 16:14:05.403298,0 days 00:00:09.432925,8,16,64,0.1305967355768799,0.005969138675695704,0.00010790909655816949,PRUNED
9,0.3837994214079074,2025-07-09 16:14:05.419978,2025-07-09 16:14:08.179831,0 days 00:00:02.759853,4,8,32,0.4146971474430322,0.0007094452062425123,0.00013779559758463465,PRUNED
10,0.2757955641272903,2025-07-09 16:14:08.197095,2025-07-09 16:14:12.444999,0 days 00:00:04.247904,2,8,64,0.13071562508339102,0.00012071391209926188,6.041708226378213e-05,PRUNED
11,0.2892960462873674,2025-07-09 16:14:12.462502,2025-07-09 16:14:28.671146,0 days 00:00:16.208644,2,32,16,0.1944522023336906,1.6843825117802504e-05,0.006530287108801723,PRUNED
12,0.42430086788813887,2025-07-09 16:14:28.690459,2025-07-09 16:14:45.523699,0 days 00:00:16.833240,4,32,16,0.30791717468111957,0.000601179591589864,0.008993190443986984,PRUNED
13,0.29604628736740596,2025-07-09 16:14:45.545224,2025-07-09 16:15:02.666466,0 days 00:00:17.121242,4,32,16,0.3052701228202541,5.153800710917158e-05,1.077565938290778e-06,PRUNED
14,0.5149469623915139,2025-07-09 16:15:02.687098,2025-07-09 16:16:08.584314,0 days 00:01:05.897216,4,32,32,0.20747132441309052,0.0006175723655724184,0.0010480186614469263,PRUNED
15,0.42912246865959497,2025-07-09 16:16:08.603924,2025-07-09 16:16:27.969364,0 days 00:00:19.365440,8,32,16,0.25227243370923774,0.0012418997480955877,0.0022274927314047967,PRUNED
16,0.38476374156219867,2025-07-09 16:16:27.993252,2025-07-09 16:16:43.556174,0 days 00:00:15.562922,2,32,32,0.3588558134036481,0.00025286443006136857,0.00042967504963246016,PRUNED
17,0.3741562198649952,2025-07-09 16:16:43.575751,2025-07-09 16:17:00.480131,0 days 00:00:16.904380,4,32,16,0.1807043627370608,7.251259877295408e-05,0.003058194699991447,PRUNED
18,0.43105110896817744,2025-07-09 16:17:00.505180,2025-07-09 16:17:17.417292,0 days 00:00:16.912112,4,32,32,0.2620935774438566,0.00041498226260413325,0.00017762651144228578,PRUNED
19,0.4561234329797493,2025-07-09 16:17:17.439941,2025-07-09 16:17:26.148260,0 days 00:00:08.708319,2,16,16,0.16306298372897132,0.001078471717231485,1.4571616360011754e-05,PRUNED
20,0.3741562198649952,2025-07-09 16:17:26.172197,2025-07-09 16:17:29.398018,0 days 00:00:03.225821,8,8,32,0.34987643318876727,0.004707444451920794,0.00034750257041378806,PRUNED
21,0.2729026036644166,2025-07-09 16:17:29.416375,2025-07-09 16:17:45.892462,0 days 00:00:16.476087,4,32,16,0.22973287118336627,1.0300651773363665e-05,0.0032885423895832565,PRUNED
22,0.44358727097396333,2025-07-09 16:17:45.914429,2025-07-09 16:18:02.420132,0 days 00:00:16.505703,2,32,32,0.11871707943632459,0.0025559189952537122,1.2593668062212074e-06,PRUNED
23,0.5342333654773385,2025-07-09 16:18:02.441999,2025-07-09 16:19:55.051318,0 days 00:01:52.609319,2,32,32,0.1601002737640943,0.0014897789176274235,3.910625349317904e-06,PRUNED
24,0.3789778206364513,2025-07-09 16:19:55.069286,2025-07-09 16:20:10.959362,0 days 00:00:15.890076,2,32,32,0.11158135338984311,0.0030161298618175273,1.9407716595646797e-05,PRUNED
25,0.49373191899710706,2025-07-09 16:20:10.980691,2025-07-09 16:20:58.596145,0 days 00:00:47.615454,2,32,32,0.14916825502487557,0.000983386951473917,3.4704728939643074e-05,PRUNED
26,0.38958534233365477,2025-07-09 16:20:58.613313,2025-07-09 16:21:14.426661,0 days 00:00:15.813348,2,32,32,0.10815405007285131,0.00032833533809231783,4.879960271754115e-06,PRUNED
27,0.40019286403085824,2025-07-09 16:21:14.443851,2025-07-09 16:21:30.570118,0 days 00:00:16.126267,2,32,32,0.27878308909288085,0.003838628410361239,0.00023164500393888808,PRUNED
28,0.43876567020250723,2025-07-09 16:21:30.589194,2025-07-09 16:21:46.424815,0 days 00:00:15.835621,2,32,32,0.21705812900299667,0.0016065798260695209,0.0008661438336556119,PRUNED
29,0.43201542912246865,2025-07-09 16:21:46.442080,2025-07-09 16:21:56.243691,0 days 00:00:09.801611,8,16,64,0.18152569670385815,0.0004588238540545994,5.096007045205361e-06,PRUNED
30,0.4108003857280617,2025-07-09 16:21:56.260680,2025-07-09 16:21:59.116481,0 days 00:00:02.855801,4,8,16,0.14427080748061338,0.009010417514046149,0.0005921525444295535,PRUNED
31,0.39922854387656703,2025-07-09 16:21:59.134053,2025-07-09 16:22:06.961481,0 days 00:00:07.827428,2,16,64,0.3445817382252719,0.001813295651388493,0.001646842626296524,PRUNED
32,0.43683702989392476,2025-07-09 16:22:06.979822,2025-07-09 16:22:15.143540,0 days 00:00:08.163718,2,16,64,0.2312615023651391,0.002537558267339987,6.636736708472226e-05,PRUNED
33,0.3240115718418515,2025-07-09 16:22:15.160536,2025-07-09 16:22:23.613836,0 days 00:00:08.453300,2,16,64,0.47023536013737854,0.0008278484929254214,0.000620230715914483,PRUNED
34,0.40019286403085824,2025-07-09 16:22:23.632061,2025-07-09 16:22:32.136840,0 days 00:00:08.504779,2,16,64,0.2805368895812029,0.0019714370268194667,0.00028798284424014995,PRUNED
35,0.33751205400192863,2025-07-09 16:22:32.154842,2025-07-09 16:22:41.695128,0 days 00:00:09.540286,8,16,64,0.10231136944912916,0.005731906675181633,0.0057785506462023455,PRUNED
36,0.4088717454194793,2025-07-09 16:22:41.798827,2025-07-09 16:22:46.294524,0 days 00:00:04.495697,2,8,64,0.32565798871164353,0.003967622163042536,0.0014923075802912647,PRUNED
37,0.3423336547733848,2025-07-09 16:22:46.313025,2025-07-09 16:22:51.317105,0 days 00:00:05.004080,4,16,16,0.37750990949313445,0.0001463307084306078,7.845868257615059e-05,PRUNED
38,0.4426229508196721,2025-07-09 16:22:51.338670,2025-07-09 16:23:07.054659,0 days 00:00:15.715989,2,32,32,0.2507249706256137,0.0012814431166674346,0.000161136726827906,PRUNED
39,0.3751205400192864,2025-07-09 16:23:07.074486,2025-07-09 16:23:22.474142,0 days 00:00:15.399656,2,32,64,0.17744457433836663,0.006852194297083793,0.0006247739384807563,PRUNED
40,0.36547733847637415,2025-07-09 16:23:22.494315,2025-07-09 16:23:25.559396,0 days 00:00:03.065081,4,8,16,0.13157040962500716,0.00026040012155994656,2.7991671483277435e-05,PRUNED
41,0.40115718418514945,2025-07-09 16:23:25.604880,2025-07-09 16:23:34.951797,0 days 00:00:09.346917,8,16,32,0.4366829542508209,0.0032454917535695077,0.003954615121704922,PRUNED
42,0.42333654773384766,2025-07-09 16:23:34.971293,2025-07-09 16:23:54.406411,0 days 00:00:19.435118,8,32,16,0.4931807245332646,0.0007078912380679382,4.7607939853434675e-05,PRUNED
43,0.4513018322082932,2025-07-09 16:23:54.433058,2025-07-09 16:24:13.549710,0 days 00:00:19.116652,8,32,16,0.44263915189034064,0.0004931720968547537,0.00012341999665532906,PRUNED
44,0.4136933461909354,2025-07-09 16:24:13.580791,2025-07-09 16:24:33.068107,0 days 00:00:19.487316,8,32,16,0.29374879744095933,0.0020439618333302767,8.226274403887654e-06,PRUNED
45,0.39729990356798456,2025-07-09 16:24:33.086224,2025-07-09 16:24:50.200449,0 days 00:00:17.114225,4,32,16,0.20278845230859163,0.0009407828239495259,0.0012776505762750394,PRUNED
46,0.3172613307618129,2025-07-09 16:24:50.249531,2025-07-09 16:25:09.840171,0 days 00:00:19.590640,8,32,16,0.3212352581612705,0.005004556866125126,2.88223382860466e-06,PRUNED
47,0.40501446480231434,2025-07-09 16:25:09.861718,2025-07-09 16:25:26.437137,0 days 00:00:16.575419,4,32,32,0.24204652138322436,0.0023011765442200365,0.00020882324297093392,PRUNED
48,0.4474445515911283,2025-07-09 16:25:26.458747,2025-07-09 16:25:43.712420,0 days 00:00:17.253673,2,32,16,0.3895044489268586,0.0012329697605512101,0.0004394167961420123,PRUNED
49,0.40501446480231434,2025-07-09 16:25:43.737827,2025-07-09 16:25:48.938385,0 days 00:00:05.200558,8,8,64,0.26763267832507354,0.0006055676043493614,0.0020227795206141158,PRUNED
50,0.2738669238187078,2025-07-09 16:25:48.956299,2025-07-09 16:26:04.527402,0 days 00:00:15.571103,2,32,32,0.13601205862666013,2.641916675898326e-05,0.000958509163979975,PRUNED
