attack,muV_budget,eps_uV_per_channel,seed,clean_acc,adv_acc,ASR,clean_acc_per_class,adv_acc_per_class,spearman_IG,roi_share_clean_IG,roi_share_adv_IG,roi_delta_share_IG,roi_spearman_IG,laterality_clean_IG,laterality_adv_IG,laterality_delta_IG,top5_clean_IG,top5_adv_IG,subject_id,model_name
FGSM,0.25,"[0.2595927119255066, 0.24246302247047424, 0.26307907700538635, 0.27535480260849, 0.2663503587245941, 0.25448399782180786, 0.19535844027996063, 0.2315744310617447, 0.25157639384269714, 0.26958170533180237, 0.2582281231880188, 0.2488684356212616, 0.22476166486740112, 0.23873959481716156, 0.24598656594753265, 0.2548787593841553, 0.2501382529735565, 0.2516990005970001, 0.2438618242740631, 0.24961088597774506, 0.2481745034456253, 0.2498617321252823]",42,0.6631944179534912,0.0243055559694767,0.9756944440305232,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.027777777777777776, 0.06944444444444445, 0.0]",0.9143139469226428,0.1250101503569105,0.1269757067637974,0.0019655564068869,0.953125,-0.0552729563631857,-0.0593472801949519,-0.0040743238317661,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
FGSM,0.5,"[0.5191854238510132, 0.4849260449409485, 0.5261581540107727, 0.55070960521698, 0.5327007174491882, 0.5089679956436157, 0.39071688055992126, 0.4631488621234894, 0.5031527876853943, 0.5391634106636047, 0.5164562463760376, 0.4977368712425232, 0.44952332973480225, 0.4774791896343231, 0.4919731318950653, 0.5097575187683105, 0.500276505947113, 0.5033980011940002, 0.4877236485481262, 0.4992217719554901, 0.4963490068912506, 0.4997234642505646]",42,0.6631944179534912,0.0,1.0,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.9143139469226428,0.1250101503569105,0.1269757067637974,0.0019655564068869,0.953125,-0.0552729563631857,-0.0593472801949519,-0.0040743238317661,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
FGSM,1.0,"[1.0383708477020264, 0.969852089881897, 1.0523163080215454, 1.10141921043396, 1.0654014348983765, 1.0179359912872314, 0.7814337611198425, 0.9262977242469788, 1.0063055753707886, 1.0783268213272095, 1.0329124927520752, 0.9954737424850464, 0.8990466594696045, 0.9549583792686462, 0.9839462637901306, 1.019515037536621, 1.000553011894226, 1.0067960023880005, 0.9754472970962524, 0.9984435439109802, 0.9926980137825012, 0.9994469285011292]",42,0.6631944179534912,0.0,1.0,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.9143139469226428,0.1250101503569105,0.1269757067637974,0.0019655564068869,0.953125,-0.0552729563631857,-0.0593472801949519,-0.0040743238317661,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
FGSM,2.0,"[2.0767416954040527, 1.939704179763794, 2.104632616043091, 2.20283842086792, 2.130802869796753, 2.035871982574463, 1.562867522239685, 1.8525954484939575, 2.012611150741577, 2.156653642654419, 2.0658249855041504, 1.9909474849700928, 1.798093318939209, 1.9099167585372925, 1.9678925275802612, 2.039030075073242, 2.001106023788452, 2.013592004776001, 1.9508945941925049, 1.9968870878219604, 1.9853960275650024, 1.9988938570022583]",42,0.6631944179534912,0.0,1.0,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.9143139469226428,0.1250101503569105,0.1269757067637974,0.0019655564068869,0.953125,-0.0552729563631857,-0.0593472801949519,-0.0040743238317661,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
PGD,0.25,"[0.2595927119255066, 0.24246302247047424, 0.26307907700538635, 0.27535480260849, 0.2663503587245941, 0.25448399782180786, 0.19535844027996063, 0.2315744310617447, 0.25157639384269714, 0.26958170533180237, 0.2582281231880188, 0.2488684356212616, 0.22476166486740112, 0.23873959481716156, 0.24598656594753265, 0.2548787593841553, 0.2501382529735565, 0.2516990005970001, 0.2438618242740631, 0.24961088597774506, 0.2481745034456253, 0.2498617321252823]",42,0.6631944179534912,0.0,1.0,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.9107583992094864,0.1250101503569105,0.127037851230463,0.0020277008735525,0.95703125,-0.0552729563631857,-0.0616469247663631,-0.0063739684031773,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
PGD,0.5,"[0.5191854238510132, 0.4849260449409485, 0.5261581540107727, 0.55070960521698, 0.5327007174491882, 0.5089679956436157, 0.39071688055992126, 0.4631488621234894, 0.5031527876853943, 0.5391634106636047, 0.5164562463760376, 0.4977368712425232, 0.44952332973480225, 0.4774791896343231, 0.4919731318950653, 0.5097575187683105, 0.500276505947113, 0.5033980011940002, 0.4877236485481262, 0.4992217719554901, 0.4963490068912506, 0.4997234642505646]",42,0.6631944179534912,0.0,1.0,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.9107583992094864,0.1250101503569105,0.127037851230463,0.0020277008735525,0.95703125,-0.0552729563631857,-0.0616469247663631,-0.0063739684031773,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
PGD,1.0,"[1.0383708477020264, 0.969852089881897, 1.0523163080215454, 1.10141921043396, 1.0654014348983765, 1.0179359912872314, 0.7814337611198425, 0.9262977242469788, 1.0063055753707886, 1.0783268213272095, 1.0329124927520752, 0.9954737424850464, 0.8990466594696045, 0.9549583792686462, 0.9839462637901306, 1.019515037536621, 1.000553011894226, 1.0067960023880005, 0.9754472970962524, 0.9984435439109802, 0.9926980137825012, 0.9994469285011292]",42,0.6631944179534912,0.0,1.0,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.9107583992094864,0.1250101503569105,0.127037851230463,0.0020277008735525,0.95703125,-0.0552729563631857,-0.0616469247663631,-0.0063739684031773,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
PGD,2.0,"[2.0767416954040527, 1.939704179763794, 2.104632616043091, 2.20283842086792, 2.130802869796753, 2.035871982574463, 1.562867522239685, 1.8525954484939575, 2.012611150741577, 2.156653642654419, 2.0658249855041504, 1.9909474849700928, 1.798093318939209, 1.9099167585372925, 1.9678925275802612, 2.039030075073242, 2.001106023788452, 2.013592004776001, 1.9508945941925049, 1.9968870878219604, 1.9853960275650024, 1.9988938570022583]",42,0.6631944179534912,0.0,1.0,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.0, 0.0, 0.0, 0.0]",0.9107583992094864,0.1250101503569105,0.127037851230463,0.0020277008735525,0.95703125,-0.0552729563631857,-0.0616469247663631,-0.0063739684031773,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'C2', 'P1', 'Cz', 'CP4']",1,EEGNet
FGSM_LP,0.25,"[0.2595927119255066, 0.24246302247047424, 0.26307907700538635, 0.27535480260849, 0.2663503587245941, 0.25448399782180786, 0.19535844027996063, 0.2315744310617447, 0.25157639384269714, 0.26958170533180237, 0.2582281231880188, 0.2488684356212616, 0.22476166486740112, 0.23873959481716156, 0.24598656594753265, 0.2548787593841553, 0.2501382529735565, 0.2516990005970001, 0.2438618242740631, 0.24961088597774506, 0.2481745034456253, 0.2498617321252823]",42,0.6631944179534912,0.5520833134651184,0.4479166865348816,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.3472222222222222, 0.5416666666666666, 0.7083333333333334, 0.6111111111111112]",0.99707968661773,0.1250101503569105,0.1252241256478896,0.000213975290979,0.98828125,-0.0552729563631857,-0.0563561797079206,-0.0010832233447349,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'FC3', 'P1', 'CP4', 'C2']",1,EEGNet
FGSM_LP,0.5,"[0.5191854238510132, 0.4849260449409485, 0.5261581540107727, 0.55070960521698, 0.5327007174491882, 0.5089679956436157, 0.39071688055992126, 0.4631488621234894, 0.5031527876853943, 0.5391634106636047, 0.5164562463760376, 0.4977368712425232, 0.44952332973480225, 0.4774791896343231, 0.4919731318950653, 0.5097575187683105, 0.500276505947113, 0.5033980011940002, 0.4877236485481262, 0.4992217719554901, 0.4963490068912506, 0.4997234642505646]",42,0.6631944179534912,0.2222222238779068,0.7777777761220932,"[0.4166666666666667, 0.6527777777777778, 0.8472222222222222, 0.7361111111111112]","[0.08333333333333333, 0.2777777777777778, 0.25, 0.2777777777777778]",0.99707968661773,0.1250101503569105,0.1252241256478896,0.000213975290979,0.98828125,-0.0552729563631857,-0.0563561797079206,-0.0010832233447349,"['FC3', 'POz', 'P1', 'CP4', 'C2']","['POz', 'FC3', 'P1', 'CP4', 'C2']",1,EEGNet
