Model,Subject,Mean_Accuracy,Std_Accuracy,N_Valid_Runs,Individual_Scores
EEGNet,1,0.65625,0.018241563245227355,5,"[0.6631944444444444, 0.6354166666666666, 0.6875, 0.6527777777777778, 0.6423611111111112]"
EEGNet,2,0.4722222222222223,0.05498842470785878,5,"[0.5486111111111112, 0.3819444444444444, 0.4652777777777778, 0.5034722222222222, 0.4618055555555556]"
EEGNet,3,0.7958333333333333,0.039185377721294115,5,"[0.8368055555555556, 0.7395833333333334, 0.78125, 0.84375, 0.7777777777777778]"
EEGNet,4,0.48680555555555555,0.022545393167705433,5,"[0.4722222222222222, 0.4548611111111111, 0.5138888888888888, 0.4826388888888889, 0.5104166666666666]"
EEGNet,5,0.3798611111111111,0.020786985482077452,5,"[0.3784722222222222, 0.3784722222222222, 0.3923611111111111, 0.40625, 0.34375]"
EEGNet,6,0.3638888888888889,0.03774355067139221,5,"[0.3576388888888889, 0.3194444444444444, 0.3541666666666667, 0.4340277777777778, 0.3541666666666667]"
EEGNet,7,0.6131944444444444,0.06472132808156808,5,"[0.6006944444444444, 0.5486111111111112, 0.6284722222222222, 0.7291666666666666, 0.5590277777777778]"
EEGNet,8,0.725,0.026113327329115508,5,"[0.7395833333333334, 0.7291666666666666, 0.6944444444444444, 0.6979166666666666, 0.7638888888888888]"
EEGNet,9,0.7201388888888889,0.024315474166682782,5,"[0.7534722222222222, 0.7256944444444444, 0.6979166666666666, 0.7361111111111112, 0.6875]"
DeepConvNet,1,0.5916666666666666,0.010668257983150848,5,"[0.5868055555555556, 0.59375, 0.6111111111111112, 0.5798611111111112, 0.5868055555555556]"
DeepConvNet,2,0.29166666666666663,0.01568276359810584,5,"[0.2777777777777778, 0.3194444444444444, 0.28125, 0.2986111111111111, 0.28125]"
DeepConvNet,3,0.65625,0.018108895570007374,5,"[0.6875, 0.6388888888888888, 0.6631944444444444, 0.6527777777777778, 0.6388888888888888]"
DeepConvNet,4,0.4097222222222222,0.017704928866641614,5,"[0.4236111111111111, 0.4201388888888889, 0.375, 0.4131944444444444, 0.4166666666666667]"
DeepConvNet,5,0.2826388888888889,0.014500425706820216,5,"[0.2569444444444444, 0.2881944444444444, 0.2777777777777778, 0.2986111111111111, 0.2916666666666667]"
DeepConvNet,6,0.29305555555555557,0.021132116742642974,5,"[0.3090277777777778, 0.2916666666666667, 0.2777777777777778, 0.2638888888888889, 0.3229166666666667]"
DeepConvNet,7,0.4805555555555555,0.06328976327813582,5,"[0.3923611111111111, 0.5625, 0.5, 0.5243055555555556, 0.4236111111111111]"
DeepConvNet,8,0.6923611111111111,0.018320702719823487,5,"[0.7048611111111112, 0.6736111111111112, 0.6805555555555556, 0.6805555555555556, 0.7222222222222222]"
DeepConvNet,9,0.7333333333333333,0.029577138109787297,5,"[0.7604166666666666, 0.6944444444444444, 0.7465277777777778, 0.7013888888888888, 0.7638888888888888]"
CTNet,1,0.6611111111111111,0.03071297831596665,5,"[0.6944444444444444, 0.6076388888888888, 0.6701388888888888, 0.6840277777777778, 0.6493055555555556]"
CTNet,2,0.4576388888888888,0.029577138109787276,5,"[0.4340277777777778, 0.4583333333333333, 0.5138888888888888, 0.4340277777777778, 0.4479166666666667]"
CTNet,3,0.7993055555555555,0.017759322017422797,5,"[0.7916666666666666, 0.8159722222222222, 0.7743055555555556, 0.8229166666666666, 0.7916666666666666]"
CTNet,4,0.5493055555555556,0.02507704178509417,5,"[0.5104166666666666, 0.5381944444444444, 0.5590277777777778, 0.5868055555555556, 0.5520833333333334]"
CTNet,5,0.39652777777777776,0.021109283546625928,5,"[0.4166666666666667, 0.3819444444444444, 0.375, 0.3819444444444444, 0.4270833333333333]"
CTNet,6,0.42777777777777776,0.01720765512967205,5,"[0.4479166666666667, 0.4097222222222222, 0.4236111111111111, 0.4097222222222222, 0.4479166666666667]"
CTNet,7,0.7131944444444445,0.03572172541558801,5,"[0.6631944444444444, 0.7152777777777778, 0.7569444444444444, 0.6840277777777778, 0.7465277777777778]"
CTNet,8,0.7173611111111111,0.01577474540500077,5,"[0.7291666666666666, 0.7083333333333334, 0.6944444444444444, 0.7395833333333334, 0.7152777777777778]"
CTNet,9,0.7333333333333334,0.016345280966583078,5,"[0.7465277777777778, 0.7152777777777778, 0.7118055555555556, 0.7430555555555556, 0.75]"
